,artist,song,channel,link,category,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,Beachtape,maybe,,https://youtube.com/watch?v=8lNH_5UmVl4,guitar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,
1,You only live once,The strokes,Jorge Orellana,https://youtube.com/watch?v=h8Y7QiahMhg,guitar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,,,,
2,Cabbage,Dinner lady,,https://youtube.com/watch?v=dklgoPTv9X8,guitar,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,,,,
3,Rnie,citrus,,https://youtube.com/watch?v=xyUVf2h0xic,guitar,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,
4,twinpeaks,making breakfast,egor5287,https://youtube.com/watch?v=bgxfz6MEze4,guitar,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,
5,,A min backing track,Tom bailey,https://youtube.com/watch?v=VyhUrgIRn7g,backing,5.0,5.0,5.0,5.0,5.0,,,,,,,,,
6,Beachtape,Some where better,,https://youtube.com/watch?v=wV63ib7cOjM,guitar,6.0,6.0,6.0,6.0,6.0,,,,,,,,,
7,Pixies,Where is my mind,,https://youtube.com/watch?v=N3oCS85HvpY,guitar,7.0,7.0,7.0,7.0,,,,,,,,,,
8,King krule,,Djence,https://youtube.com/watch?v=v_pFGg1Evro,guitar,8.0,8.0,8.0,8.0,,,,,,,,,,
9,Parquet Courts,Total football,,https://youtube.com/watch?v=sP9l9HBJ1o0,guitar,9.0,9.0,9.0,,,,,,,,,,,
10,Arctic Monkeys,Fake tales of san francisco,,https://youtube.com/watch?v=ePg1tbia9Bg,bass,10.0,10.0,,,,,,,,,,,,
11,Arctic Monkeys,Fluorescent adolescent bass,,https://youtube.com/watch?v=QLziOcMOAt0,bass,11.0,11.0,,,,,,,,,,,,
12,Arctic Monkeys,When the sun goes down,,https://youtube.com/watch?v=EqkBRVukQmE,bass,12.0,12.0,,,,,,,,,,,,
13,Joy Division,Disorder,,https://youtube.com/watch?v=5BIElTtN6Fs,bass,13.0,13.0,,,,,,,,,,,,
14,Joy Division,Love will tear us apart bass,,https://youtube.com/watch?v=aVrM0EJjX8k,guitar,14.0,14.0,,,,,,,,,,,,
15,The chats,bus money,,https://youtube.com/watch?v=cMxWDssoozk,bass,15.0,15.0,,,,,,,,,,,,
16,The chats ,smoko bass,,https://youtube.com/watch?v=6LSb32hovZ0,bass,16.0,16.0,,,,,,,,,,,,
17,The Drums,Money bass,,https://youtube.com/watch?v=aS6eFQCreJc,bass,17.0,,,,,,,,,,,,,
18,Parquet Courts,Before the water gets to high,,https://youtube.com/watch?v=sIizlekltGc,bass,18.0,,,,,,,,,,,,,
19,Parquets Courts,Total football bass,,https://youtube.com/watch?v=25Ea3hYtOtc,bass,19.0,,,,,,,,,,,,,
20,Talking Heads,"uh-oh, Love comes to town",Coversolutions,https://youtube.com/watch?v=Z50zlB9CgHA,bass,,,,,,,,,,,,,,
